,Score,Random State,Number of Features
0,0.8443651067902416,0,50
1,0.843926375734325,1,50
2,0.8506190595791262,2,50
3,0.8379072889618252,3,50
4,0.8348747478501455,4,50
5,0.8534208528349005,5,50
6,0.8444606834850528,6,50
7,0.8429014109090682,7,50
8,0.8394868607190256,8,50
9,0.8425142013804752,9,50
10,0.8482902795826497,10,50
11,0.8427148542804168,11,50
12,0.8517622937400157,12,50
13,0.8324304568295724,13,50
14,0.836538688735478,14,50
15,0.8514894073694085,15,50
16,0.8473443337118254,16,50
17,0.8511570002405018,17,50
18,0.8400617624916332,18,50
19,0.8440750097406521,19,50
20,0.8405515718193448,20,50
21,0.83748906352197,21,50
22,0.8394524388204556,22,50
23,0.843608627877357,23,50
24,0.8413078705672253,24,50
25,0.8417636825316287,25,50
26,0.8430248016764261,26,50
27,0.8445685733545271,27,50
28,0.841535946401849,28,50
29,0.8427025571257387,29,50
30,0.8439592041902094,30,50
31,0.8479007437723237,31,50
32,0.8439593339154556,32,50
33,0.850981961274746,33,50
34,0.8475091506215893,34,50
35,0.841067352948576,35,50
36,0.8467426119204156,36,50
37,0.85006221059361,37,50
38,0.8479305445343812,38,50
39,0.8429633925903194,39,50
40,0.838247624836312,40,50
41,0.8453140969802548,41,50
42,0.8373221905975292,42,50
43,0.8455785974822702,43,50
44,0.8355495863457809,44,50
45,0.84670095667126,45,50
46,0.8446694267547192,46,50
47,0.84384245402657,47,50
48,0.8414734981595003,48,50
49,0.8410977479071937,49,50
50,0.8353703387591714,50,50
51,0.8449308108472063,51,50
52,0.838491949517798,52,50
53,0.848123392127237,53,50
54,0.8423087322142071,54,50
55,0.8426517634268109,55,50
56,0.8442070087978427,56,50
57,0.8368664041223982,57,50
58,0.8445906116753721,58,50
59,0.8472210873884882,59,50
60,0.8392813483408441,60,50
61,0.8350468107727612,61,50
62,0.850460847598988,62,50
63,0.84497084713181,63,50
64,0.8491251291493186,64,50
65,0.8442245245063356,65,50
66,0.8465163130329831,66,50
67,0.8436560755385316,67,50
68,0.8362785172852927,68,50
69,0.8451369216740419,69,50
70,0.8523351950119251,70,50
71,0.8504053499950307,71,50
72,0.8479899485523453,72,50
73,0.8482902070315161,73,50
74,0.8402508319320083,74,50
75,0.846276237004066,75,50
76,0.8432228711059164,76,50
77,0.8421659439018274,77,50
78,0.8442683804526803,78,50
79,0.8465914428668073,79,50
80,0.8504153095410703,80,50
81,0.8407663753866499,81,50
82,0.8432366574727763,82,50
83,0.8505315348896848,83,50
84,0.8380407138820917,84,50
85,0.8436976605293425,85,50
86,0.8414975032971543,86,50
87,0.8429505320227955,87,50
88,0.8404165431092545,88,50
89,0.850032733061684,89,50
90,0.8427013642385528,90,50
91,0.8410338614863908,91,50
92,0.8365777973068874,92,50
93,0.8415237171037792,93,50
94,0.8468539219730465,94,50
95,0.8383090440754474,95,50
96,0.8498956101585194,96,50
97,0.8418394816443936,97,50
98,0.8515229685700484,98,50
99,0.8341812619602603,99,50
