,PDB,id,picked,show,size,x,y
ZINC|000001529359|,,ZINC|000001529359|,True,False,225,0.9014187925892507,0.6261822534690524
ZINC|000001532540|,,ZINC|000001532540|,True,False,41,0.06391841214262418,-0.7169798206338109
ZINC|000001556239|,,ZINC|000001556239|,True,False,103,0.28376264327656037,0.7256365665386
ZINC|000001565382|,,ZINC|000001565382|,True,False,2,0.6305251603779568,-0.7003365440131202
ZINC|000001704000|,,ZINC|000001704000|,False,False,2,0.1363608453897404,0.4953704293724438
ZINC|000001705197|,,ZINC|000001705197|,False,False,1,-0.4187976352376571,0.7820859290761533
ZINC|000001726380|,,ZINC|000001726380|,True,False,4,-0.46579573443930417,-1.0117187101660876
ZINC|000002007908|,,ZINC|000002007908|,True,False,3,0.629304710521545,-0.8145468657460362
ZINC|000002029097|,,ZINC|000002029097|,False,False,1,0.49549798097081477,-0.5542948118400522
ZINC|000002035518|,,ZINC|000002035518|,False,False,4,0.2538767028026828,-0.24891731088164465
ZINC|000002487686|,,ZINC|000002487686|,False,False,3,0.29556522048999806,0.36915467165031374
ZINC|000002525296|,,ZINC|000002525296|,True,False,1,0.1356709284511032,-1.0077876508403223
ZINC|000002583523|,,ZINC|000002583523|,True,False,1,0.07478690766802165,1.0369940978352106
ZINC|000003623428|,,ZINC|000003623428|,True,False,1,0.906521925027187,-0.3046684028011489
ZINC|000003938676|,,ZINC|000003938676|,True,False,1,0.6679243763049215,0.8438701117866928
ZINC|000004109959|,,ZINC|000004109959|,True,False,3,0.6966602431483991,0.5957207906979987
ZINC|000004218939|,,ZINC|000004218939|,True,False,2,0.852730631854488,0.47521807130237054
ZINC|000004236169|,,ZINC|000004236169|,False,False,8,-0.4929494926540336,0.3351453503002358
ZINC|000004312752|,,ZINC|000004312752|,True,False,74,-0.4832830497811791,-0.6738805803267125
ZINC|000004312754|,,ZINC|000004312754|,True,False,30,0.44966684469787443,-0.8712344892426312
ZINC|000004618925|,,ZINC|000004618925|,True,False,5,0.4945460143753919,0.8356957110458698
ZINC|000004658554|,,ZINC|000004658554|,True,False,1,-0.9927068889087294,-0.21516560496244072
ZINC|000004658565|,,ZINC|000004658565|,True,False,1,0.021408128296658224,-1.0479116228796472
ZINC|000004713280|,,ZINC|000004713280|,True,False,152,1.0294234600454275,-0.22029575822425
ZINC|000004962956|,,ZINC|000004962956|,True,False,2,-0.9309532605858917,0.36174286559041996
ZINC|000005298708|,,ZINC|000005298708|,True,False,5,-0.11801324267658365,-0.9104321133798834
ZINC|000006315024|,,ZINC|000006315024|,True,False,1,0.9621549170016677,0.2718852781971423
ZINC|000006779774|,,ZINC|000006779774|,True,False,2,-0.8383244219150344,-0.6167511390120516
ZINC|000012394743|,,ZINC|000012394743|,False,False,1,0.7182890190703042,0.4037365979320489
ZINC|000013409046|,,ZINC|000013409046|,True,False,4,-1.1011019988521322,-0.213061434251979
ZINC|000013944146|,,ZINC|000013944146|,True,False,2,0.9514613530650313,-0.40108797578293304
ZINC|000015017270|,,ZINC|000015017270|,False,False,1,0.3466083531496997,0.03321591781908183
ZINC|000016980368|,,ZINC|000016980368|,True,False,14,-0.07221718420654764,0.9354870703456662
ZINC|000017111357|,,ZINC|000017111357|,True,False,20,0.2858081634350067,0.9859536376193585
ZINC|000019093106|,,ZINC|000019093106|,False,False,3,-0.18823963770158808,0.28932314699995365
ZINC|000019772468|,,ZINC|000019772468|,True,False,10,0.367030851040033,0.874098057557145
ZINC|000021779167|,,ZINC|000021779167|,True,False,1,1.00667240953895,-0.004299754549882184
ZINC|000021992428|,,ZINC|000021992428|,False,False,2,0.5623606086658299,0.11812175005666403
ZINC|000022242010|,,ZINC|000022242010|,True,False,20,0.51251900749783,0.31383250842105254
ZINC|000023279815|,,ZINC|000023279815|,False,False,2,0.13658487962818644,0.8400926631554643
ZINC|000031168698|,,ZINC|000031168698|,True,False,2,-0.9375031438936176,-0.3076598955575337
ZINC|000031775789|,,ZINC|000031775789|,False,False,1,-0.31264402625034604,0.548660443063042
ZINC|000034074056|,,ZINC|000034074056|,False,False,4,-0.524703917187265,0.5931553963254492
ZINC|000035320571|,,ZINC|000035320571|,False,False,6,0.2327433731001482,-0.8478651854153528
ZINC|000036893475|,,ZINC|000036893475|,True,False,54,0.612732163635325,0.7553779409457089
ZINC|000039333569|,,ZINC|000039333569|,True,False,6,0.8370327703211132,-0.5735498666983658
ZINC|000039956894|,,ZINC|000039956894|,False,False,2,-0.05381622983653491,0.41591064914317266
ZINC|000064857594|,,ZINC|000064857594|,True,False,1,-0.80104093261601,0.5154255116394892
ZINC|000071772789|,,ZINC|000071772789|,False,False,1,0.735275330105579,-0.46175950579309305
ZINC|000075537720|,,ZINC|000075537720|,False,False,7,-0.1063717886956719,-0.6935607160025639
ZINC|000077028604|,,ZINC|000077028604|,True,False,13,-0.6046856586189325,-0.7517137848359007
ZINC|000077262235|,,ZINC|000077262235|,True,False,1,-0.6550354553028541,0.6951470165931092
ZINC|000077262254|,,ZINC|000077262254|,False,False,1,-0.1177925455980311,-0.24272222567892354
ZINC|000078571100|,,ZINC|000078571100|,True,False,1,-1.1004662028844063,0.09172708125634259
ZINC|000096767156|,,ZINC|000096767156|,True,False,12,-0.40904011521748945,1.000311996416392
ZINC|000100028860|,,ZINC|000100028860|,True,False,19,-0.3173469833968392,-1.0032499056241462
ZINC|000100034493|,,ZINC|000100034493|,False,False,1,-0.29419038397223335,-0.7694330215220644
ZINC|000100038588|,,ZINC|000100038588|,True,False,2,-0.1870576931059642,-1.0331250740610571
ZINC|000100069153|,,ZINC|000100069153|,False,False,2,-0.5544514713871261,-0.149372764994174
ZINC|000100233598|,,ZINC|000100233598|,False,False,2,0.2415857829477894,-0.4139232363040828
ZINC|000101112334|,,ZINC|000101112334|,True,False,7,-0.20553737178500045,0.8597765081252405
ZINC|000104141533|,,ZINC|000104141533|,True,False,4,-0.3137514192745581,0.8952018687934553
ZINC|000170596104|,,ZINC|000170596104|,True,False,24,0.9324005344451223,-0.08163851197049421
ZINC|000170596112|,,ZINC|000170596112|,False,False,1,-0.43135981503834075,0.09057211056650559
ZINC|000225476048|,,ZINC|000225476048|,True,False,3,0.30014400771774646,-0.9343100720867024
ZINC|000225476179|,,ZINC|000225476179|,True,False,2,-0.713778831768433,-0.7411945351540359
ZINC|000225608314|,,ZINC|000225608314|,True,False,2,0.90925166558427,0.1266014370597135
ZINC|000238833219|,,ZINC|000238833219|,False,False,1,0.10937706466188336,0.20349245229746699
ZINC|000238853551|,,ZINC|000238853551|,True,False,12,-0.8203440091939164,-0.4393523088022443
ZINC|000253417458|,,ZINC|000253417458|,False,False,6,-0.6584101708837856,-0.3982961136200011
ZINC|000254826953|,,ZINC|000254826953|,False,False,2,-0.3772106892675036,-0.11113274211408516
ZINC|000257349764|,,ZINC|000257349764|,True,False,8,-1.087591988335043,-0.5086792747659549
ZINC|000257373322|,,ZINC|000257373322|,False,False,4,0.7246988041854092,-0.31275646947232844
ZINC|000299888403|,,ZINC|000299888403|,True,False,4,-0.9366778448178543,0.634178018813136
ZINC|000328593989|,,ZINC|000328593989|,False,False,6,0.1284823580287061,-0.021276979290586175
ZINC|000328598169|,,ZINC|000328598169|,True,False,2,-0.9220119565912407,0.09657110996830837
ZINC|000328598189|,,ZINC|000328598189|,False,False,7,0.7883811571327566,-0.0015948053198111226
ZINC|000408525754|,,ZINC|000408525754|,False,False,5,-0.6319799619379012,0.3221404317384288
ZINC|000408525762|,,ZINC|000408525762|,False,False,1,0.5601725613367077,-0.2047267846129421
ZINC|000408678551|,,ZINC|000408678551|,False,False,1,0.48966990163966045,0.5822021428886816
ZINC|000514288318|,,ZINC|000514288318|,False,False,4,-0.8459803577835311,-0.028793081081713842
ZINC|001569999071|,,ZINC|001569999071|,False,False,1,-0.3202650219505813,-0.4485092119670531
ZINC|001569999093|,,ZINC|001569999093|,True,False,6,-1.0815585300234076,0.3162959361083783
ZINC|001772491117|,,ZINC|001772491117|,False,False,1,-0.046019901792302045,0.722255133768886
